age,education,city,cp
"[18,44)",Master,*,1****
"[18,44)",Grado,*,4****
"[18,44)",Grado,*,3****
"[18,44)",Master,*,4****
"[65,89)",Grado,*,4****
"[65,89)",Doctorado,*,2****
"[65,89)",Doctorado,*,5****
"[44,65)",Grado,*,2****
"[65,89)",Grado,*,1****
"[18,44)",Grado,*,2****
"[65,89)",Doctorado,*,4****
"[44,65)",Grado,*,0****
"[65,89)",Secundaria,*,1****
*,*,*,*
"[44,65)",Secundaria,*,3****
"[65,89)",Grado,*,2****
"[44,65)",Master,*,4****
"[44,65)",Grado,*,5****
"[18,44)",Grado,*,3****
"[44,65)",Secundaria,*,3****
"[18,44)",Grado,*,3****
"[18,44)",Grado,*,2****
"[65,89)",Doctorado,*,3****
*,*,*,*
"[44,65)",Grado,*,0****
"[44,65)",Master,*,2****
"[65,89)",Master,*,2****
"[18,44)",Grado,*,5****
"[18,44)",Grado,*,4****
"[18,44)",Grado,*,0****
"[18,44)",Grado,*,3****
"[65,89)",Doctorado,*,0****
"[44,65)",Doctorado,*,2****
"[65,89)",Doctorado,*,0****
"[44,65)",Secundaria,*,0****
"[65,89)",Grado,*,0****
"[44,65)",Master,*,2****
"[18,44)",Grado,*,3****
"[65,89)",Master,*,3****
"[65,89)",Secundaria,*,4****
"[18,44)",Secundaria,*,2****
"[65,89)",Grado,*,1****
"[18,44)",Grado,*,0****
"[65,89)",Master,*,4****
"[65,89)",Grado,*,4****
"[44,65)",Master,*,3****
"[65,89)",Grado,*,2****
"[18,44)",Doctorado,*,3****
"[18,44)",Secundaria,*,4****
"[18,44)",Grado,*,1****
"[44,65)",Grado,*,3****
"[65,89)",Doctorado,*,3****
"[18,44)",Grado,*,4****
"[44,65)",Grado,*,3****
"[65,89)",Master,*,4****
"[18,44)",Master,*,2****
"[65,89)",Grado,*,1****
"[18,44)",Grado,*,5****
"[65,89)",Grado,*,0****
"[44,65)",Grado,*,2****
"[44,65)",Grado,*,3****
"[18,44)",Grado,*,0****
"[44,65)",Doctorado,*,1****
"[65,89)",Grado,*,5****
"[18,44)",Grado,*,1****
"[65,89)",Grado,*,3****
"[44,65)",Grado,*,0****
"[65,89)",Grado,*,3****
"[65,89)",Grado,*,0****
"[44,65)",Master,*,4****
"[18,44)",Grado,*,2****
"[44,65)",Grado,*,1****
"[18,44)",Secundaria,*,4****
"[44,65)",Master,*,0****
"[18,44)",Secundaria,*,2****
"[44,65)",Grado,*,0****
"[44,65)",Master,*,2****
"[18,44)",Doctorado,*,0****
"[65,89)",Doctorado,*,3****
"[44,65)",Grado,*,2****
"[65,89)",Grado,*,5****
"[18,44)",Grado,*,1****
"[18,44)",Master,*,0****
"[44,65)",Doctorado,*,2****
"[18,44)",Doctorado,*,3****
"[18,44)",Secundaria,*,2****
"[65,89)",Master,*,2****
"[18,44)",Grado,*,0****
"[65,89)",Grado,*,3****
"[18,44)",Grado,*,4****
"[18,44)",Master,*,0****
"[44,65)",Master,*,3****
"[65,89)",Grado,*,0****
"[18,44)",Doctorado,*,0****
"[18,44)",Grado,*,3****
"[65,89)",Doctorado,*,3****
"[65,89)",Doctorado,*,4****
"[44,65)",Grado,*,1****
"[44,65)",Grado,*,2****
"[18,44)",Master,*,4****
*,*,*,*
"[44,65)",Secundaria,*,0****
"[18,44)",Grado,*,1****
"[18,44)",Grado,*,4****
"[18,44)",Master,*,0****
"[65,89)",Grado,*,0****
"[44,65)",Grado,*,4****
"[44,65)",Master,*,5****
"[44,65)",Master,*,5****
"[65,89)",Grado,*,1****
"[18,44)",Master,*,1****
"[18,44)",Grado,*,3****
"[18,44)",Grado,*,5****
"[44,65)",Secundaria,*,0****
"[65,89)",Grado,*,4****
"[44,65)",Doctorado,*,4****
"[44,65)",Doctorado,*,2****
"[65,89)",Master,*,2****
"[18,44)",Grado,*,0****
"[44,65)",Grado,*,3****
"[44,65)",Grado,*,2****
"[44,65)",Grado,*,2****
"[65,89)",Doctorado,*,0****
"[18,44)",Master,*,2****
"[65,89)",Grado,*,4****
"[18,44)",Grado,*,0****
"[44,65)",Doctorado,*,0****
"[44,65)",Grado,*,0****
"[65,89)",Grado,*,2****
"[44,65)",Secundaria,*,3****
"[18,44)",Grado,*,2****
"[18,44)",Grado,*,0****
